,brand,model,variant_url,variant_title,variant_id
2410,talbot,samba,https://www.cars-data.com/en/talbot-samba-1982/3117,Talbot Samba,3117
2411,talbot,samba,https://www.cars-data.com/en/talbot-samba-1982/3116,Talbot Samba,3116
2412,talbot,matra,https://www.cars-data.com/en/talbot-matra-murena-1981/3114,Talbot Matra Murena,3114
2413,talbot,tagora,https://www.cars-data.com/en/talbot-tagora-1981/3120,Talbot Tagora,3120
2414,talbot,solara,https://www.cars-data.com/en/talbot-solara-1980/3118,Talbot Solara,3118
2415,talbot,1100,https://www.cars-data.com/en/talbot-1100-1979/3109,Talbot 1100,3109
2416,talbot,1100,https://www.cars-data.com/en/talbot-1100-1979/3110,Talbot 1100,3110
2417,talbot,1100,https://www.cars-data.com/en/talbot-1100-tourist-1979/3111,Talbot 1100 Tourist,3111
2418,talbot,1510,https://www.cars-data.com/en/talbot-1510-1979/3112,Talbot 1510,3112
2419,talbot,horizon,https://www.cars-data.com/en/talbot-horizon-1979/3113,Talbot Horizon,3113
2420,talbot,matra,https://www.cars-data.com/en/talbot-matra-rancho-1979/3115,Talbot Matra Rancho,3115
2421,talbot,sunbeam,https://www.cars-data.com/en/talbot-sunbeam-1979/3119,Talbot Sunbeam,3119
2422,tesla,model,https://www.cars-data.com/en/tesla-model-y-2021/4615,Tesla Model Y,4615
2423,tesla,model,https://www.cars-data.com/en/tesla-model-3-2020/4731,Tesla Model 3,4731
2424,tesla,model,https://www.cars-data.com/en/tesla-model-3-2019/4331,Tesla Model 3,4331
2425,tesla,model,https://www.cars-data.com/en/tesla-model-x-2016/3532,Tesla Model X,3532
2426,tesla,model,https://www.cars-data.com/en/tesla-model-s-2016/3661,Tesla Model S,3661
2427,tesla,model,https://www.cars-data.com/en/tesla-model-s-2013/3240,Tesla Model S,3240
2428,tesla,roadster,https://www.cars-data.com/en/tesla-roadster-2010/2576,Tesla Roadster,2576
2429,think,city,https://www.cars-data.com/en/think-city-2009/2577,Think City,2577
2430,toyota,proace,https://www.cars-data.com/en/toyota-proace-city-verso-2020/4635,Toyota Proace City Verso,4635
2431,toyota,proace,https://www.cars-data.com/en/toyota-proace-city-2019/4594,Toyota Proace City,4594
2432,toyota,corolla,https://www.cars-data.com/en/toyota-corolla-sedan-2019/4336,Toyota Corolla Sedan,4336
2433,toyota,corolla,https://www.cars-data.com/en/toyota-corolla-touring-sports-2019/4337,Toyota Corolla Touring Sports,4337
2434,toyota,mirai,https://www.cars-data.com/en/toyota-mirai-2017/4340,Toyota Mirai,4340
2435,toyota,proace,https://www.cars-data.com/en/toyota-proace-shuttle-2016/4079,Toyota Proace Shuttle,4079
2436,toyota,proace,https://www.cars-data.com/en/toyota-proace-verso-2016/4343,Toyota Proace Verso,4343
2437,toyota,auris,https://www.cars-data.com/en/toyota-auris-touring-sports-2015/3534,Toyota Auris Touring Sports,3534
2438,toyota,auris,https://www.cars-data.com/en/toyota-auris-touring-sports-2013/3241,Toyota Auris Touring Sports,3241
2439,toyota,avensis,https://www.cars-data.com/en/toyota-avensis-touring-sports-2015/3536,Toyota Avensis Touring Sports,3536
2440,toyota,land,https://www.cars-data.com/en/toyota-land-cruiser-high-roof-blind-v-2017/4514,Toyota Land Cruiser High Roof Blind V,4514
2441,toyota,land,https://www.cars-data.com/en/toyota-land-cruiser-high-roof-blind-v-2014/4473,Toyota Land Cruiser High Roof Blind V,4473
2442,toyota,land,https://www.cars-data.com/en/toyota-land-cruiser-standard-roof-bli-2017/4515,Toyota Land Cruiser Standard Roof Bli,4515
2443,toyota,land,https://www.cars-data.com/en/toyota-land-cruiser-standard-roof-bli-2014/4474,Toyota Land Cruiser Standard Roof Bli,4474
2444,toyota,proace,https://www.cars-data.com/en/toyota-proace-2016/4507,Toyota Proace,4507
2445,toyota,proace,https://www.cars-data.com/en/toyota-proace-2013/4467,Toyota Proace,4467
2446,toyota,land,https://www.cars-data.com/en/toyota-land-cruiser-v8-van-2012/4391,Toyota Land Cruiser V8 Van,4391
2447,toyota,hilux,https://www.cars-data.com/en/toyota-hilux-2016/4502,Toyota Hilux,4502
2448,toyota,hilux,https://www.cars-data.com/en/toyota-hilux-2012/2703,Toyota Hilux,2703
2449,toyota,gt86,https://www.cars-data.com/en/toyota-gt86-2016/4070,Toyota GT86,4070
2450,toyota,gt86,https://www.cars-data.com/en/toyota-gt86-2012/2702,Toyota GT86,2702
2451,toyota,hilux,https://www.cars-data.com/en/toyota-hilux-dubbele-cabine-2016/4071,Toyota Hilux Dubbele Cabine,4071
2452,toyota,hilux,https://www.cars-data.com/en/toyota-hilux-dubbele-cabine-2012/2704,Toyota Hilux Dubbele Cabine,2704
2453,toyota,prius,https://www.cars-data.com/en/toyota-prius-wagon-2011/2733,Toyota Prius Wagon,2733
2454,toyota,iq,https://www.cars-data.com/en/toyota-iq-2009/2705,Toyota iQ,2705
2455,toyota,urban,https://www.cars-data.com/en/toyota-urban-cruiser-2009/2752,Toyota Urban Cruiser,2752
2456,toyota,verso,https://www.cars-data.com/en/toyota-verso-van-2014/4475,Toyota Verso Van,4475
2457,toyota,verso,https://www.cars-data.com/en/toyota-verso-van-2009/4437,Toyota Verso Van,4437
2458,toyota,land,https://www.cars-data.com/en/toyota-land-cruiser-v8-2012/2718,Toyota Land Cruiser V8,2718
2459,toyota,land,https://www.cars-data.com/en/toyota-land-cruiser-v8-2008/4076,Toyota Land Cruiser V8,4076
2460,toyota,auris,https://www.cars-data.com/en/toyota-auris-2015/3533,Toyota Auris,3533
2461,toyota,auris,https://www.cars-data.com/en/toyota-auris-2013/3019,Toyota Auris,3019
2462,toyota,auris,https://www.cars-data.com/en/toyota-auris-2010/2579,Toyota Auris,2579
2463,toyota,verso,https://www.cars-data.com/en/toyota-verso-2013/3245,Toyota Verso,3245
2464,toyota,verso,https://www.cars-data.com/en/toyota-verso-2009/2754,Toyota Verso,2754
2465,toyota,verso,https://www.cars-data.com/en/toyota-verso-2007/2753,Toyota Verso,2753
2466,toyota,aygo,https://www.cars-data.com/en/toyota-aygo-2018/4333,Toyota Aygo,4333
2467,toyota,aygo,https://www.cars-data.com/en/toyota-aygo-2018/4332,Toyota Aygo,4332
2468,toyota,aygo,https://www.cars-data.com/en/toyota-aygo-2014/3384,Toyota Aygo,3384
2469,toyota,corolla,https://www.cars-data.com/en/toyota-corolla-verso-2004/2696,Toyota Corolla Verso,2696
2470,toyota,corolla,https://www.cars-data.com/en/toyota-corolla-verso-2002/2695,Toyota Corolla Verso,2695
2471,toyota,avensis,https://www.cars-data.com/en/toyota-avensis-verso-2003/2599,Toyota Avensis Verso,2599
2472,toyota,avensis,https://www.cars-data.com/en/toyota-avensis-verso-2001/2598,Toyota Avensis Verso,2598
2473,toyota,rav4,https://www.cars-data.com/en/toyota-rav4-2019/4344,Toyota RAV4,4344
2474,toyota,rav4,https://www.cars-data.com/en/toyota-rav4-2016/4499,Toyota RAV4,4499
2475,toyota,rav4,https://www.cars-data.com/en/toyota-rav4-2016/3538,Toyota RAV4,3538
2476,toyota,prius,https://www.cars-data.com/en/toyota-prius-2019/4341,Toyota Prius,4341
2477,toyota,prius,https://www.cars-data.com/en/toyota-prius-2016/3537,Toyota Prius,3537
2478,toyota,prius,https://www.cars-data.com/en/toyota-prius-2015/4078,Toyota Prius+,4078
2479,toyota,yaris,https://www.cars-data.com/en/toyota-yaris-2020/4649,Toyota Yaris,4649
2480,toyota,yaris,https://www.cars-data.com/en/toyota-yaris-2017/4092,Toyota Yaris,4092
2481,toyota,yaris,https://www.cars-data.com/en/toyota-yaris-2017/4093,Toyota Yaris,4093
2482,toyota,yaris,https://www.cars-data.com/en/toyota-yaris-verso-2003/2767,Toyota Yaris Verso,2767
2483,toyota,yaris,https://www.cars-data.com/en/toyota-yaris-verso-1999/2766,Toyota Yaris Verso,2766
2484,toyota,land,https://www.cars-data.com/en/toyota-land-cruiser-100-2002/2716,Toyota Land Cruiser 100,2716
2485,toyota,land,https://www.cars-data.com/en/toyota-land-cruiser-100-1998/2715,Toyota Land Cruiser 100,2715
2486,toyota,funcruiser,https://www.cars-data.com/en/toyota-funcruiser-hardtop-1998/2698,Toyota Funcruiser Hardtop,2698
2487,toyota,funcruiser,https://www.cars-data.com/en/toyota-funcruiser-softtop-1998/2699,Toyota Funcruiser Softtop,2699
2488,toyota,avensis,https://www.cars-data.com/en/toyota-avensis-2015/3535,Toyota Avensis,3535
2489,toyota,avensis,https://www.cars-data.com/en/toyota-avensis-2012/2591,Toyota Avensis,2591
2490,toyota,avensis,https://www.cars-data.com/en/toyota-avensis-2009/2590,Toyota Avensis,2590
2491,toyota,avensis,https://www.cars-data.com/en/toyota-avensis-wagon-2012/2597,Toyota Avensis Wagon,2597
2492,toyota,avensis,https://www.cars-data.com/en/toyota-avensis-wagon-2009/2596,Toyota Avensis Wagon,2596
2493,toyota,avensis,https://www.cars-data.com/en/toyota-avensis-wagon-2006/2595,Toyota Avensis Wagon,2595
2494,toyota,corolla,https://www.cars-data.com/en/toyota-corolla-wagon-2004/2692,Toyota Corolla Wagon,2692
2495,toyota,corolla,https://www.cars-data.com/en/toyota-corolla-wagon-2002/2691,Toyota Corolla Wagon,2691
2496,toyota,corolla,https://www.cars-data.com/en/toyota-corolla-wagon-2000/2690,Toyota Corolla Wagon,2690
2497,toyota,paseo,https://www.cars-data.com/en/toyota-paseo-1996/2723,Toyota Paseo,2723
2498,toyota,picnic,https://www.cars-data.com/en/toyota-picnic-1996/2724,Toyota Picnic,2724
2499,toyota,land,https://www.cars-data.com/en/toyota-land-cruiser-90-1999/4073,Toyota Land Cruiser 90,4073
2500,toyota,land,https://www.cars-data.com/en/toyota-land-cruiser-90-1996/4072,Toyota Land Cruiser 90,4072
2501,toyota,land,https://www.cars-data.com/en/toyota-land-cruiser-90-wagon-1999/4075,Toyota Land Cruiser 90 Wagon,4075
2502,toyota,land,https://www.cars-data.com/en/toyota-land-cruiser-90-wagon-1996/4074,Toyota Land Cruiser 90 Wagon,4074
2503,toyota,funcruiser,https://www.cars-data.com/en/toyota-funcruiser-wagon-1998/2701,Toyota Funcruiser Wagon,2701
2504,toyota,funcruiser,https://www.cars-data.com/en/toyota-funcruiser-wagon-1995/2700,Toyota Funcruiser Wagon,2700
2505,toyota,funcruiser,https://www.cars-data.com/en/toyota-funcruiser-1994/2697,Toyota Funcruiser,2697
2506,toyota,carina,https://www.cars-data.com/en/toyota-carina-e-stationwagon-1996/2632,Toyota Carina E Stationwagon,2632
2507,toyota,carina,https://www.cars-data.com/en/toyota-carina-e-stationwagon-1993/2631,Toyota Carina E Stationwagon,2631
2508,toyota,camry,https://www.cars-data.com/en/toyota-camry-customwagon-1992/2614,Toyota Camry Customwagon,2614
2509,toyota,carina,https://www.cars-data.com/en/toyota-carina-e-1996/2618,Toyota Carina E,2618
2510,toyota,carina,https://www.cars-data.com/en/toyota-carina-e-1996/2626,Toyota Carina E,2626
2511,toyota,carina,https://www.cars-data.com/en/toyota-carina-e-1992/2617,Toyota Carina E,2617
2512,toyota,celica,https://www.cars-data.com/en/toyota-celica-convertible-1995/2648,Toyota Celica Convertible,2648
2513,toyota,celica,https://www.cars-data.com/en/toyota-celica-convertible-1991/2647,Toyota Celica Convertible,2647
2514,toyota,4runner,https://www.cars-data.com/en/toyota-4runner-1990/3662,Toyota 4Runner,3662
2515,toyota,previa,https://www.cars-data.com/en/toyota-previa-2003/2727,Toyota Previa,2727
2516,toyota,previa,https://www.cars-data.com/en/toyota-previa-2000/2726,Toyota Previa,2726
2517,toyota,previa,https://www.cars-data.com/en/toyota-previa-1990/2725,Toyota Previa,2725
2518,toyota,celica,https://www.cars-data.com/en/toyota-celica-2002/2642,Toyota Celica,2642
2519,toyota,celica,https://www.cars-data.com/en/toyota-celica-1999/2641,Toyota Celica,2641
2520,toyota,celica,https://www.cars-data.com/en/toyota-celica-1994/2640,Toyota Celica,2640
2521,toyota,corolla,https://www.cars-data.com/en/toyota-corolla-stationwagon-1992/2688,Toyota Corolla Stationwagon,2688
2522,toyota,corolla,https://www.cars-data.com/en/toyota-corolla-stationwagon-1988/2687,Toyota Corolla Stationwagon,2687
2523,toyota,carina,https://www.cars-data.com/en/toyota-carina-ii-stationwagon-1988/2633,Toyota Carina II Stationwagon,2633
2524,toyota,camry,https://www.cars-data.com/en/toyota-camry-stationwagon-1987/2615,Toyota Camry Stationwagon,2615
2525,toyota,carina,https://www.cars-data.com/en/toyota-carina-ii-1988/2628,Toyota Carina II,2628
2526,toyota,carina,https://www.cars-data.com/en/toyota-carina-ii-1988/2620,Toyota Carina II,2620
2527,toyota,carina,https://www.cars-data.com/en/toyota-carina-ii-1986/2627,Toyota Carina II,2627
2528,toyota,mr2,https://www.cars-data.com/en/toyota-mr2-2002/2722,Toyota MR2,2722
2529,toyota,mr2,https://www.cars-data.com/en/toyota-mr2-2000/2721,Toyota MR2,2721
2530,toyota,mr2,https://www.cars-data.com/en/toyota-mr2-1990/2720,Toyota MR2,2720
2531,toyota,land,https://www.cars-data.com/en/toyota-land-cruiser-customwagon-1990/2714,Toyota Land Cruiser Customwagon,2714
2532,toyota,land,https://www.cars-data.com/en/toyota-land-cruiser-customwagon-1985/2713,Toyota Land Cruiser Customwagon,2713
2533,toyota,tercel,https://www.cars-data.com/en/toyota-tercel-wagon-1983/4090,Toyota Tercel Wagon,4090
2534,toyota,camry,https://www.cars-data.com/en/toyota-camry-2019/4334,Toyota Camry,4334
2535,toyota,camry,https://www.cars-data.com/en/toyota-camry-2001/2612,Toyota Camry,2612
2536,toyota,camry,https://www.cars-data.com/en/toyota-camry-1999/2611,Toyota Camry,2611
2537,toyota,supra,https://www.cars-data.com/en/toyota-supra-2019/4345,Toyota Supra,4345
2538,toyota,supra,https://www.cars-data.com/en/toyota-supra-1993/4082,Toyota Supra,4082
2539,toyota,supra,https://www.cars-data.com/en/toyota-supra-1986/4081,Toyota Supra,4081
2540,toyota,corolla,https://www.cars-data.com/en/toyota-corolla-2019/4335,Toyota Corolla,4335
2541,toyota,corolla,https://www.cars-data.com/en/toyota-corolla-2007/2681,Toyota Corolla,2681
2542,toyota,corolla,https://www.cars-data.com/en/toyota-corolla-2004/2680,Toyota Corolla,2680
2543,toyota,carina,https://www.cars-data.com/en/toyota-carina-1984/4055,Toyota Carina,4055
2544,toyota,carina,https://www.cars-data.com/en/toyota-carina-1984/4054,Toyota Carina,4054
2545,toyota,carina,https://www.cars-data.com/en/toyota-carina-1981/2623,Toyota Carina,2623
2546,toyota,corolla,https://www.cars-data.com/en/toyota-corolla-coupe-1983/2693,Toyota Corolla Coupe,2693
2547,toyota,corolla,https://www.cars-data.com/en/toyota-corolla-coupe-1982/2694,Toyota Corolla Coupe,2694
2548,toyota,corolla,https://www.cars-data.com/en/toyota-corolla-coupe-1980/2670,Toyota Corolla Coupe,2670
2549,toyota,carina,https://www.cars-data.com/en/toyota-carina-combi-1981/2630,Toyota Carina Combi,2630
2550,toyota,carina,https://www.cars-data.com/en/toyota-carina-combi-1980/2629,Toyota Carina Combi,2629
2551,toyota,land,https://www.cars-data.com/en/toyota-land-cruiser-2017/4338,Toyota Land Cruiser,4338
2552,toyota,land,https://www.cars-data.com/en/toyota-land-cruiser-2017/4339,Toyota Land Cruiser,4339
2553,toyota,land,https://www.cars-data.com/en/toyota-land-cruiser-2013/3242,Toyota Land Cruiser,3242
2554,toyota,corolla,https://www.cars-data.com/en/toyota-corolla-combi-1984/2686,Toyota Corolla Combi,2686
2555,toyota,corolla,https://www.cars-data.com/en/toyota-corolla-combi-1982/2683,Toyota Corolla Combi,2683
2556,toyota,corolla,https://www.cars-data.com/en/toyota-corolla-combi-1982/2685,Toyota Corolla Combi,2685
2557,toyota,crown,https://www.cars-data.com/en/toyota-crown-1983/4068,Toyota Crown,4068
2558,toyota,crown,https://www.cars-data.com/en/toyota-crown-1980/4067,Toyota Crown,4067
2559,toyota,corolla,https://www.cars-data.com/en/toyota-corolla-liftback-1992/2666,Toyota Corolla Liftback,2666
2560,toyota,corolla,https://www.cars-data.com/en/toyota-corolla-liftback-1987/2665,Toyota Corolla Liftback,2665
2561,toyota,corolla,https://www.cars-data.com/en/toyota-corolla-liftback-1985/2664,Toyota Corolla Liftback,2664
2562,toyota,crown,https://www.cars-data.com/en/toyota-crown-combi-1980/4069,Toyota Crown Combi,4069
2563,toyota,starlet,https://www.cars-data.com/en/toyota-starlet-1996/2745,Toyota Starlet,2745
2564,toyota,starlet,https://www.cars-data.com/en/toyota-starlet-1996/2750,Toyota Starlet,2750
2565,toyota,starlet,https://www.cars-data.com/en/toyota-starlet-1990/2744,Toyota Starlet,2744
2566,toyota,starlet,https://www.cars-data.com/en/toyota-starlet-combi-1980/2751,Toyota Starlet Combi,2751
2567,toyota,celica,https://www.cars-data.com/en/toyota-celica-coupe-1985/2638,Toyota Celica Coupe,2638
2568,toyota,celica,https://www.cars-data.com/en/toyota-celica-coupe-1983/2637,Toyota Celica Coupe,2637
2569,toyota,celica,https://www.cars-data.com/en/toyota-celica-coupe-1981/2636,Toyota Celica Coupe,2636
2570,toyota,celica,https://www.cars-data.com/en/toyota-celica-liftback-1985/2634,Toyota Celica Liftback,2634
2571,toyota,celica,https://www.cars-data.com/en/toyota-celica-liftback-1985/2646,Toyota Celica Liftback,2646
2572,toyota,celica,https://www.cars-data.com/en/toyota-celica-liftback-1983/2645,Toyota Celica Liftback,2645
2573,toyota,tercel,https://www.cars-data.com/en/toyota-tercel-1984/4084,Toyota Tercel,4084
2574,toyota,tercel,https://www.cars-data.com/en/toyota-tercel-1982/4087,Toyota Tercel,4087
2575,toyota,tercel,https://www.cars-data.com/en/toyota-tercel-1981/4083,Toyota Tercel,4083
2576,toyota,corona,https://www.cars-data.com/en/toyota-corona-1981/4058,Toyota Corona,4058
2577,toyota,corona,https://www.cars-data.com/en/toyota-corona-1979/4057,Toyota Corona,4057
2578,toyota,tercel,https://www.cars-data.com/en/toyota-tercel-coupe-1981/4091,Toyota Tercel Coupe,4091
2579,toyota,tercel,https://www.cars-data.com/en/toyota-tercel-coupe-1979/4085,Toyota Tercel Coupe,4085
