,brand,year,spec_title,spec_url,fuel_type,transmission
25278,Volvo,2004,2004 Volvo S40 2.4i specs,https://www.cars-data.com/en/volvo-s40-2-4i-specs/55281/tech,Petrol,Automatic
25279,Volvo,2004,2004 Volvo S40 2.4i Elan specs,https://www.cars-data.com/en/volvo-s40-2-4i-elan-specs/55282/tech,Petrol,Manual
25280,Volvo,2004,2004 Volvo S40 2.4i Elan specs,https://www.cars-data.com/en/volvo-s40-2-4i-elan-specs/55283/tech,Petrol,Automatic
25281,Volvo,2004,2004 Volvo S40 2.4i Kinetic specs,https://www.cars-data.com/en/volvo-s40-2-4i-kinetic-specs/55284/tech,Petrol,Manual
25282,Volvo,2004,2004 Volvo S40 2.4i Kinetic specs,https://www.cars-data.com/en/volvo-s40-2-4i-kinetic-specs/55285/tech,Petrol,Automatic
25283,Volvo,2004,2004 Volvo S40 2.4i Elite specs,https://www.cars-data.com/en/volvo-s40-2-4i-elite-specs/55286/tech,Petrol,Manual
25284,Volvo,2004,2004 Volvo S40 2.4i Elite specs,https://www.cars-data.com/en/volvo-s40-2-4i-elite-specs/55287/tech,Petrol,Automatic
25285,Volvo,2004,2004 Volvo S40 2.4i Momentum specs,https://www.cars-data.com/en/volvo-s40-2-4i-momentum-specs/55288/tech,Petrol,Manual
25286,Volvo,2004,2004 Volvo S40 2.4i Momentum specs,https://www.cars-data.com/en/volvo-s40-2-4i-momentum-specs/55289/tech,Petrol,Automatic
25287,Volvo,2004,2004 Volvo S40 2.4i Exclusive specs,https://www.cars-data.com/en/volvo-s40-2-4i-exclusive-specs/55290/tech,Petrol,Manual
25288,Volvo,2004,2004 Volvo S40 2.4i Exclusive specs,https://www.cars-data.com/en/volvo-s40-2-4i-exclusive-specs/55291/tech,Petrol,Automatic
25289,Volvo,2004,2004 Volvo S40 2.4i Summum specs,https://www.cars-data.com/en/volvo-s40-2-4i-summum-specs/55292/tech,Petrol,Manual
25290,Volvo,2004,2004 Volvo S40 2.4i Summum specs,https://www.cars-data.com/en/volvo-s40-2-4i-summum-specs/55293/tech,Petrol,Automatic
25291,Volvo,2004,2004 Volvo S40 T5 Elan specs,https://www.cars-data.com/en/volvo-s40-t5-elan-specs/55294/tech,Petrol,Manual
25292,Volvo,2004,2004 Volvo S40 T5 Elan specs,https://www.cars-data.com/en/volvo-s40-t5-elan-specs/55295/tech,Petrol,Automatic
25293,Volvo,2004,2004 Volvo S40 T5 Kinetic specs,https://www.cars-data.com/en/volvo-s40-t5-kinetic-specs/55296/tech,Petrol,Manual
25294,Volvo,2004,2004 Volvo S40 T5 Kinetic specs,https://www.cars-data.com/en/volvo-s40-t5-kinetic-specs/55297/tech,Petrol,Automatic
25295,Volvo,2004,2004 Volvo S40 T5 Elite specs,https://www.cars-data.com/en/volvo-s40-t5-elite-specs/55298/tech,Petrol,Manual
25296,Volvo,2004,2004 Volvo S40 T5 Elite specs,https://www.cars-data.com/en/volvo-s40-t5-elite-specs/55299/tech,Petrol,Automatic
25297,Volvo,2004,2004 Volvo S40 T5 Momentum specs,https://www.cars-data.com/en/volvo-s40-t5-momentum-specs/55300/tech,Petrol,Manual
25298,Volvo,2004,2004 Volvo S40 T5 Momentum specs,https://www.cars-data.com/en/volvo-s40-t5-momentum-specs/55301/tech,Petrol,Automatic
25299,Volvo,2004,2004 Volvo S40 T5 Exclusive specs,https://www.cars-data.com/en/volvo-s40-t5-exclusive-specs/55302/tech,Petrol,Manual
25300,Volvo,2004,2004 Volvo S40 T5 Exclusive specs,https://www.cars-data.com/en/volvo-s40-t5-exclusive-specs/55303/tech,Petrol,Automatic
25301,Volvo,2004,2004 Volvo S40 T5 Summum specs,https://www.cars-data.com/en/volvo-s40-t5-summum-specs/55304/tech,Petrol,Manual
25302,Volvo,2004,2004 Volvo S40 T5 Summum specs,https://www.cars-data.com/en/volvo-s40-t5-summum-specs/55305/tech,Petrol,Automatic
25303,Volvo,2004,2004 Volvo S40 2.0D specs,https://www.cars-data.com/en/volvo-s40-2-0d-specs/55320/tech,Diesel,Manual
25304,Volvo,2004,2004 Volvo S40 2.0D Elan specs,https://www.cars-data.com/en/volvo-s40-2-0d-elan-specs/55325/tech,Diesel,Manual
25305,Volvo,2004,2004 Volvo S40 2.0D Kinetic specs,https://www.cars-data.com/en/volvo-s40-2-0d-kinetic-specs/55326/tech,Diesel,Manual
25306,Volvo,2004,2004 Volvo S40 2.0D Elite specs,https://www.cars-data.com/en/volvo-s40-2-0d-elite-specs/55327/tech,Diesel,Manual
25307,Volvo,2004,2004 Volvo S40 2.0D Momentum specs,https://www.cars-data.com/en/volvo-s40-2-0d-momentum-specs/55328/tech,Diesel,Manual
25308,Volvo,2004,2004 Volvo S40 2.0D Exclusive specs,https://www.cars-data.com/en/volvo-s40-2-0d-exclusive-specs/55329/tech,Diesel,Manual
25309,Volvo,2004,2004 Volvo S40 2.0D Summum specs,https://www.cars-data.com/en/volvo-s40-2-0d-summum-specs/55330/tech,Diesel,Manual
25310,Volvo,2002,2002 Volvo S40 1.6 specs,https://www.cars-data.com/en/volvo-s40-1-6-specs/55160/tech,Petrol,Manual
25311,Volvo,2002,2002 Volvo S40 1.6 Europa specs,https://www.cars-data.com/en/volvo-s40-1-6-europa-specs/55162/tech,Petrol,Manual
25312,Volvo,2002,2002 Volvo S40 1.6 Europa Elegance specs,https://www.cars-data.com/en/volvo-s40-1-6-europa-elegance-specs/55163/tech,Petrol,Manual
25313,Volvo,2002,2002 Volvo S40 1.6 Europa Sports specs,https://www.cars-data.com/en/volvo-s40-1-6-europa-sports-specs/55164/tech,Petrol,Manual
25314,Volvo,2002,2002 Volvo S40 1.8 specs,https://www.cars-data.com/en/volvo-s40-1-8-specs/55167/tech,Petrol,Manual
25315,Volvo,2002,2002 Volvo S40 1.8 specs,https://www.cars-data.com/en/volvo-s40-1-8-specs/55168/tech,Petrol,Automatic
25316,Volvo,2002,2002 Volvo S40 1.8 Europa specs,https://www.cars-data.com/en/volvo-s40-1-8-europa-specs/55169/tech,Petrol,Manual
25317,Volvo,2002,2002 Volvo S40 1.8 Europa specs,https://www.cars-data.com/en/volvo-s40-1-8-europa-specs/55170/tech,Petrol,Automatic
25318,Volvo,2002,2002 Volvo S40 1.8 Europa Elegance specs,https://www.cars-data.com/en/volvo-s40-1-8-europa-elegance-specs/55171/tech,Petrol,Manual
25319,Volvo,2002,2002 Volvo S40 1.8 Europa Elegance specs,https://www.cars-data.com/en/volvo-s40-1-8-europa-elegance-specs/55172/tech,Petrol,Automatic
25320,Volvo,2002,2002 Volvo S40 1.8 Europa Sports specs,https://www.cars-data.com/en/volvo-s40-1-8-europa-sports-specs/55173/tech,Petrol,Manual
25321,Volvo,2002,2002 Volvo S40 1.8 Europa Sports specs,https://www.cars-data.com/en/volvo-s40-1-8-europa-sports-specs/55174/tech,Petrol,Automatic
25322,Volvo,2002,2002 Volvo S40 1.8 Bi-Fuel specs,https://www.cars-data.com/en/volvo-s40-1-8-bi-fuel-specs/55179/tech,Lpg,Manual
